2003,18
1997,10
1986,12
1987,7
1984,8
1985,2
1982,6
1983,3
1980,5
1981,6
1988,10
1989,5
2015,5
2014,7
2016,1
2011,23
2010,24
2013,11
2012,17
1978,4
2005,32
1991,11
1990,3
1993,9
1992,13
1995,11
1994,11
1979,4
1996,14
1977,2
1998,18
1975,2
1974,1
1973,1
2002,22
1999,20
2000,13
2001,18
2006,14
2007,17
2004,18
1976,6
2008,22
2009,34
